,full_id,building_usage,yearly_demand_unrenovated,consumer_size,initial_gas_price,renovation_costs,yearly_demand_renovated,npv_savings_30years_ir_0.03,npv_unrenovated_30years_ir_0.03,npv_renovated_30years_ir_0.03
774,w160127712,mfh,51621.798511126886,r1,0.1145,89220.41241151813,19893.976263748034,-10103.543480791108,-128724.72100131719,-138828.2644821083
775,w160127717,mfh,59698.67769326997,r2,0.1054,89235.86923099094,20018.073736971855,1848.158267568535,-137034.1037810334,-135185.94551346486
776,w160127718,mfh,30986.327841109854,r1,0.1145,88689.38631608078,19998.168014560528,-61289.18235601214,-77267.86980005089,-138557.05215606303
777,w160127719,mfh,53656.28092585754,r1,0.1145,97605.00168842293,26016.569220877962,-28682.293057621544,-133797.93016433847,-162480.22322196
778,w164087844,other,23298.876208291324,nr1,0.107,58144.80553264863,5531.1032271675895,-16741.01379008039,-54292.78162146807,-71033.79541154846
779,w164087850,other,39843.370631234495,nr1,0.107,94126.62306494926,9571.515035104732,-23584.88403581943,-92845.9982964763,-116430.88233229573
780,w164087857,other,24270.419437870198,nr1,0.107,53480.78583614376,5732.685063821826,-10282.7725444631,-56556.7442232596,-66839.5167677227
781,w164088134,other,8520.811361523403,nr1,0.107,21324.583860143663,1759.8511405416625,-5569.689351602297,-19855.83108614839,-25425.52043775069
782,w164088135,other,9382.961797042744,nr1,0.107,24509.08519064219,2135.573167364456,-7620.678870984295,-21864.878428262156,-29485.55729924645
783,w164088136,other,10365.075939279755,nr1,0.107,25223.64453094702,2351.3907609693943,-6549.556756088288,-24153.474160310987,-30703.030916399275
784,w164088145,other,7688.65523273509,nr1,0.107,20214.19254677332,1792.7923090107927,-6475.212377680047,-17916.678717967137,-24391.891095647185
785,w164088147,other,7653.3059062610255,nr1,0.107,18950.01058296959,1605.5773936808175,-4857.1418753108555,-17834.3050770428,-22691.446952353657
786,w164088149,other,21270.940862087315,nr1,0.107,54776.75421174382,5037.637509600219,-16948.698213146636,-49567.135203606565,-66515.8334167532
787,w164088150,other,10640.228147967977,nr1,0.107,24945.393886082835,2517.215982809361,-6016.544200425462,-24794.654389152147,-30811.19858957761
788,w164088153,other,27987.590700977962,nr1,0.107,72575.36605973967,6314.859681225849,-22071.94941952084,-65218.77435008976,-87290.7237696106
789,w164088154,other,8230.148773793977,nr1,0.107,21967.37661375345,1835.0380826427343,-7065.012006303856,-19178.50741353673,-26243.519419840584
790,w164088157,other,2093.107334584698,nr0,0.1312,,2093.107334584698,,-5980.653971685574,
791,w164088159,other,21341.59203461474,nr1,0.107,49092.984522530765,5119.410322922457,-11290.845002030968,-49731.771843032424,-61022.61684506339
792,w164088163,other,9750.431328885437,nr1,0.107,25983.85187272713,2248.3548386822213,-8501.952876877505,-22721.1833790468,-31223.136255924306
793,w164088169,other,21105.453760835582,nr1,0.107,52746.14839876756,4565.7132450906565,-14204.009633399917,-49181.50479941425,-63385.51443281417
794,w164088173,other,9833.713895159206,nr1,0.107,26169.2290568593,2150.0171163433765,-8264.104898580441,-22915.25463566681,-31179.35953424725
795,w164088175,other,12691.274034079426,nr1,0.107,33772.92191891296,2825.594723491785,-10783.179084597403,-29574.15471331933,-40357.33379791673
796,w164088176,other,12042.207613050196,nr1,0.107,30516.71797773885,2699.0784914501523,-8744.660625045984,-28061.651657818857,-36806.31228286484
797,w164088177,other,9666.08564864545,nr1,0.107,26355.4841499274,2171.9295867927553,-8892.04192782681,-22524.63477485472,-31416.67670268153
