,Diameter,Renovated_Losses_W,Renovated_Length_m,Booster_Losses_W,Booster_Length_m,Losses_Diff_W,Length_Diff_m,Renovated_Length_km,Booster_Length_km,Length_Diff_km
71,0.082,4166.148,324.34000000000003,8827.470000000001,687.23,4661.322000000001,362.89,0.32434,0.68723,0.36289
72,0.083,4217.226,326.78999999999996,2648.6220000000003,205.24,-1568.6039999999994,-121.54999999999995,0.32678999999999997,0.20524,-0.12154999999999995
73,0.084,1874.351,144.57,0.0,0.0,-1874.351,-144.57,0.14457,0.0,-0.14457
74,0.086,0.0,0.0,3380.9120000000003,258.44,3380.9120000000003,258.44,0.0,0.25844,0.25844
75,0.087,0.0,0.0,6744.249,513.3,6744.249,513.3,0.0,0.5133,0.5133
76,0.088,4584.026,347.38,0.0,0.0,-4584.026,-347.38,0.34738,0.0,-0.34738
77,0.089,1261.988,95.23,2574.334,194.26,1312.3459999999998,99.02999999999999,0.09523000000000001,0.19426,0.09902999999999999
78,0.09,2585.018,194.26,345.982,26.0,-2239.036,-168.26,0.19426,0.026,-0.16826
79,0.091,0.0,0.0,702.174,52.55,702.174,52.55,0.0,0.05255,0.05255
80,0.092,550.231,41.01,0.0,0.0,-550.231,-41.01,0.04101,0.0,-0.04101
81,0.094,2336.812,172.79,4838.210999999999,357.75,2501.3989999999994,184.96,0.17279,0.35775,0.18496
82,0.095,0.0,0.0,3629.001,267.31,3629.001,267.31,0.0,0.26731,0.26731
83,0.096,174.438,12.8,246.122,18.06,71.68400000000003,5.259999999999998,0.0128,0.01806,0.005259999999999998
84,0.097,543.78,39.75,332.287,24.29,-211.493,-15.46,0.03975,0.02429,-0.015460000000000002
85,0.098,2278.248,165.92000000000002,1137.476,82.84,-1140.772,-83.08000000000001,0.16592,0.08284,-0.08308000000000001
86,0.101,337.169,24.29,1321.193,95.18,984.024,70.89000000000001,0.02429,0.09518,0.07089000000000001
87,0.102,2223.367,159.61,2752.429,197.58999999999997,529.0619999999999,37.97999999999996,0.15961,0.19759,0.03797999999999996
88,0.104,697.934,49.76,0.0,0.0,-697.934,-49.76,0.04976,0.0,-0.04976
