,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
85,w99055216,463.1840371862054,education,30329.625776782435,33699.58419642493,37912.03222097804,nr1,-50820.72765725926,-249728.81702887127,-198908.089371612,0.10088023314648455,-429.4364084305622
86,w99055219,773.0541430711745,other,89363.99007406665,99293.3223045185,111704.9875925833,nr2,-137844.3061633224,-606295.1431835656,-468450.83702024317,0.0928663828498012,-605.9741626365144
87,w99055224,318.955577952601,ab,39326.77401159415,43696.415568437944,49158.46751449268,r1,-70515.38132761,-234580.253465301,-164064.872137691,0.10088425840893965,-514.3815737314749
88,w99055226,262.56915004737675,ab,28811.221455015977,32012.468283351085,36014.02681876997,r1,-51660.33366519493,-177633.24906586797,-125972.91540067305,0.10088425840893965,-479.77043524703146
89,w99055235,1694.7837025728077,trade,149404.7926523063,166005.3251692292,186755.99081538286,nr2,-230457.48028442994,-917932.5546868476,-687475.0744024176,0.0928663828498012,-405.64177797956125
90,w99055245,424.4345906373113,ab,47895.25638616388,53216.95154018208,59869.07048270485,r1,-85879.20959034923,-278160.3929638797,-192281.18337353045,0.10088425840893965,-453.0290122791593
91,w99055249,70.42309986636974,sfh,9527.919340341607,10586.577044824007,11909.899175427008,r1,-17084.159136592858,-104706.00527297164,-87621.84613637878,0.10088425840893965,-1244.2202388512328
92,w99055257,137.79457132667304,trade,8302.741753787854,9225.268615319837,10378.427192234816,nr1,-13912.18541841735,-101040.20639531082,-87128.02097689346,0.10088023314648455,-632.3037267581237
93,w99055287,226.3710821658373,mfh,29327.158711257514,32585.731901397237,36658.94838907189,r1,-52585.44164263205,-179147.990424525,-126562.54878189294,0.10088425840893965,-559.0932709734295
94,w99055292,58.725108856521544,trade,5742.2884325185605,6380.320480576178,7177.8605406482,nr1,-9621.85549885195,-77220.23835195601,-67598.38285310406,0.10088023314648455,-1151.0984682593248
95,w99055300,847.1402418442303,other,76273.07353797425,84747.85948663806,95341.34192246781,nr2,-117651.51591901922,-557086.1357587056,-439434.6198396863,0.0928663828498012,-518.7271223038986
96,w99389931,488.4274571448564,mfh,51882.65252404952,57647.39169338835,64853.315655061895,r2,-85635.3016620483,-263865.7401494916,-178230.4384874433,0.0928663828498012,-364.90667320241215
97,w99389943,3490.8252122399163,ab,329651.0091598724,366278.89906652493,412063.7614498405,r2,-544107.9482109899,-1393388.1345534911,-849280.1863425012,0.0928663828498012,-243.28923240403483
98,w99389949,2474.179022271931,ab,284257.7582638273,315841.9536264748,355322.1978297841,r2,-469183.7771289124,-1513838.3710349419,-1044654.5939060295,0.0928663828498012,-422.222718931134
99,w99389956,671.7147096479312,education,46899.24791118664,52110.27545687404,58624.0598889833,nr1,-78585.00869632402,-74090.4112065765,4494.597489747524,0.10088023314648455,6.691229811095395
100,w99389960,693.6997662768932,ab,80098.50062143736,88998.33402381929,100123.12577679669,r2,-132207.1815856954,-444252.9140858874,-312045.732500192,0.0928663828498012,-449.8282220490725
101,w99389971,1612.9015118613836,education,79005.85520261421,87784.28355846023,98757.31900326777,nr2,-121866.84238492486,-666405.8948083323,-544539.0524234074,0.0928663828498012,-337.6145712672668
102,w99389974,235.12884147074072,education,10047.192716967635,11163.547463297371,12558.990896209543,nr1,-16835.210844569123,-121181.74928984189,-104346.53844527276,0.10088023314648455,-443.7845131740573
103,w99389975,1082.0712234761565,mfh,111466.82540481444,123852.0282275716,139333.53175601806,r2,-183982.40557241102,-497237.0420296326,-313254.6364572216,0.0928663828498012,-289.49539518377566
104,w99389979,163.53384786918758,ab,21228.517390207166,23587.241544674627,26535.646737758954,r1,-38064.0679642052,-163161.00432689075,-125096.93636268555,0.10088425840893965,-764.9605142462732
105,w99389992,2569.363114476204,other,222880.7619206125,247645.2910229028,278600.9524007656,nr2,-343794.45186630293,-324131.44353963085,19663.008326672076,0.0928663828498012,7.652872502094987
106,w99390006,431.6004564465955,education,13943.155864366083,15492.395404851202,17428.944830457604,nr1,-23363.338937340457,-216198.18575483785,-192834.8468174974,0.10088023314648455,-446.7901827656153
