,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
586,w160025369,mfh,31307.540166698134,34786.15574077571,39134.42520837267,r1,-56136.390252435456,-94082.26567358068,-37945.875421145225,103.97346241511406,-364.9573125654536,103.97346241511406
587,w160025373,mfh,19528.4876100236,21698.319566692888,24410.6095125295,r1,-35015.807555594125,-58685.04359482673,-23669.236039232608,103.9182820610702,-227.7677764661543,103.9182820610702
588,w160025375,mfh,15200.83881015165,16889.8209001685,19001.048512689562,r1,-27256.06084245217,-45680.02940452006,-18423.968562067887,104.46434533819556,-176.36609411968894,104.46434533819556
589,w160025376,other,24444.85545262742,27160.950502919353,30556.069315784272,nr1,-40960.12759016768,-68650.7345178184,-27690.606927650726,101.26918978765606,-273.4356519066967,101.26918978765606
590,w160025380,th,34848.77791521003,38720.864350233365,43560.97239401253,r1,-62486.05244782489,-104724.03659824755,-42237.98415042266,128.15635424628857,-329.58166139191553,128.15635424628857
591,w160025381,th,28086.96814171458,31207.742379682866,35108.71017714322,r1,-50361.70188446009,-84404.12707623075,-34042.425191770664,64.08582323277369,-531.2005600383902,64.08582323277369
592,w160025384,mfh,20982.930538967033,23314.367265518926,26228.663173708792,r1,-37623.715280836375,-63055.788959020836,-25432.07367818446,125.48521707579494,-202.66987833971797,125.48521707579494
593,w160025385,mfh,19113.271805362478,21236.968672624975,23891.589756703095,r1,-34271.29948101121,-57437.27888900835,-23165.97940799714,125.6767025694251,-184.32994289613873,125.6767025694251
594,w160025388,mfh,22027.775224300745,24475.305804778607,27534.71903037593,r1,-39497.18757207267,-66195.65094593474,-26698.463373862076,125.67682776004075,-212.43743854546045,125.67682776004075
595,w160025389,mfh,47965.512281802236,53295.013646446925,59956.89035225279,r1,-86005.18283366667,-144141.12528923884,-58135.94245557218,125.54291224256157,-463.0762614718358,125.54291224256157
596,w160025392,other,27858.656569021638,30954.062854468484,34823.32071127705,nr1,-46680.33851822758,-78238.02598666698,-31557.6874684394,101.23846836648882,-311.71636609711277,101.23846836648882
597,w160025393,mfh,45315.96209286242,50351.068992069355,56644.95261607802,r1,-81254.37256215417,-136178.96398675253,-54924.59142459836,241.441205301648,-227.48640339157328,241.441205301648
598,w160025394,mfh,62962.95736238052,69958.84151375612,78703.69670297565,r2,-103923.98200463667,-174172.2907520306,-70248.30874739392,520.9474028991534,-134.84721942455448,520.9474028991534
599,w160025395,mfh,139025.81297444832,154473.12552716478,173782.2662180604,r2,-229470.0994202203,-384582.3851643098,-155112.28574408952,347.3527018059045,-446.5555757524061,347.3527018059045
600,w160025396,mfh,72576.31056757846,80640.34507508717,90720.38820947307,r2,-119791.37431518483,-200765.38325753165,-80974.00894234682,362.18757194392384,-223.56926414604783,362.18757194392384
601,w160025398,mfh,39216.56985455993,43573.966505066586,49020.71231819991,r1,-70317.77833696385,-117849.6849071476,-47531.90657018375,216.67090053744613,-219.37374355431294,216.67090053744613
602,w160025399,mfh,34672.16062353594,38524.62291503994,43340.20077941992,r1,-62169.36652622411,-104193.28410637646,-42023.91758015235,277.5212213275954,-151.42596079362846,277.5212213275954
603,w160025402,mfh,135601.65691662167,150668.50768513518,169502.07114577707,r2,-223818.33293017835,-375110.2585446596,-151291.92561448124,733.1297983160242,-206.36444728067795,733.1297983160242
604,w160025403,th,30986.659895695237,34429.62210632804,38733.32486961904,r1,-55561.03172789425,-93117.98860980748,-37556.956881913226,118.93753181435167,-315.7704410794019,118.93753181435167
605,w160025405,mfh,19132.43207453168,21258.257860590755,23915.5400931646,r1,-34305.65504972395,-57494.85739964048,-23189.20234991653,118.80893169231713,-195.18063178928557,118.80893169231713
606,w160025406,mfh,28748.62308334191,31942.914537046567,35935.778854177384,r1,-51548.090844368,-86392.46584928565,-34844.37500491765,118.8714888818562,-293.1264286556445,118.8714888818562
607,w160025409,mfh,32004.557460828604,35560.619400920674,40005.69682603575,r1,-57386.186136355616,-96176.87182584613,-38790.685689490514,118.87152101863175,-326.32446659288996,118.87152101863175
608,w160025412,mfh,83112.16289052342,92346.84765613714,103890.20361315427,r2,-137181.40447071634,-229910.35374471598,-92728.94927399963,678.325670054555,-136.70269808091123,678.325670054555
609,w160025415,mfh,279799.99905388296,310888.88783764775,349749.9988173537,r2,-461825.9891957799,-774001.2354748178,-312175.2462790379,1309.668819526094,-238.36197489377435,1309.668819526094
610,w160025422,mfh,168599.14632942146,187332.3848104683,210748.93291177682,r2,-278282.5868278663,-466390.0929243439,-188107.50609647756,678.3786613484378,-277.28983356075713,678.3786613484378
611,w160025427,mfh,68356.5049155554,75951.67212839489,85445.63114444424,r2,-112826.34241365077,-189092.2781854316,-76265.93577178085,555.729584345687,-137.2356950576528,555.729584345687
612,w160025428,mfh,239622.2435597125,266246.9372885694,299527.80444964056,r2,-395510.29320756014,-662858.8748735068,-267348.5816659467,926.2977557130158,-288.6205650581067,926.2977557130158
613,w160025434,mfh,59985.928411771165,66651.03156863463,74982.41051471395,r2,-99010.2245184729,-165937.03666479886,-66926.81214632596,188.0208901744336,-355.95412873662923,188.0208901744336
614,w160025437,mfh,90561.97402298985,100624.41558109982,113202.4675287373,r2,-149477.74616909667,-250518.5132875351,-101040.76711843844,385.6369404070079,-262.01008391934204,385.6369404070079
615,w160025438,mfh,66439.19135967275,73821.32373296973,83048.98919959094,r2,-109661.7061286683,-183788.47880707635,-74126.77267840804,514.208815998584,-144.156946306833,514.208815998584
616,w160025439,mfh,35464.80466216238,39405.33851351376,44331.005827702975,r1,-63590.62718249663,-106575.2581174154,-42984.63093491877,231.99735509790483,-185.28069389747523,231.99735509790483
617,w160025441,mfh,29974.211052689745,33304.67894743305,37467.76381586218,r1,-53745.64722119197,-90075.47934458347,-36329.8321233915,239.19352681115268,-151.88467935453167,239.19352681115268
618,w160025442,mfh,52917.83142950211,58797.59047722457,66147.28928687764,r2,-87343.92397663658,-146384.80001279464,-59040.876036158064,258.45977183450015,-228.4335222348017,258.45977183450015
619,w160025445,mfh,76181.21925820394,84645.79917578216,95226.52407275492,r2,-125741.48342039596,-210737.5197469986,-84996.03632660263,358.2598954875022,-237.24686295390183,358.2598954875022
620,w160025446,mfh,32653.249972380814,36281.3888582009,40816.56246547602,r1,-58549.33264318537,-98126.25720992158,-39576.924566736205,282.03160609211767,-140.3279764105925,282.03160609211767
621,w160025449,mfh,33051.986190285665,36724.42910031741,41314.98273785708,r1,-59264.29178136438,-99324.4991218335,-40060.207340469125,151.84076374266294,-263.8303862088211,151.84076374266294
622,w160025451,mfh,48334.62753030463,53705.14170033847,60418.284412880785,r1,-86667.02970913901,-145250.35324802663,-58583.32353888762,187.46145662125198,-312.5086329466096,187.46145662125198
623,w160025452,mfh,24070.360376751494,26744.844863057217,30087.950470939366,r1,-43159.67132618675,-72333.8220686279,-29174.150742441147,105.00601281486452,-277.83314460170885,105.00601281486452
624,w160025453,mfh,40248.819299141745,44720.91033237972,50311.02412392718,r1,-72168.66656869222,-120951.69694544423,-48783.03037675201,104.94913844838739,-464.8254487648116,104.94913844838739
625,w160025454,mfh,31063.545589658388,34515.05065517598,38829.43198707298,r1,-55698.89261693771,-93349.03775156128,-37650.14513462357,86.96602670811116,-432.9293467780334,86.96602670811116
626,w160025455,mfh,35882.11822470182,39869.02024966869,44852.647780877276,r1,-64338.89666900414,-107829.32679387396,-43490.43012486982,103.15431486908346,-421.6055351641369,103.15431486908346
627,w160025456,mfh,27935.001650526843,31038.890722807602,34918.75206315855,r1,-50089.21639983928,-83947.45268656997,-33858.236286730695,162.83409464433788,-207.93087811667348,162.83409464433788
628,w160025457,mfh,32162.32092267025,35735.91213630028,40202.90115333781,r1,-57669.06595426409,-96650.9666877081,-38981.90073344401,103.20248084068298,-377.722516124604,103.20248084068298
629,w160025458,mfh,18326.430862615038,20362.70095846115,22908.038578268795,r1,-32860.4441409405,-55072.74375708,-22212.299616139506,101.69107806179672,-218.4291880811933,101.69107806179672
630,w160025459,mfh,29801.469324202662,33112.743693558514,37251.836655253326,r1,-53435.91042834275,-89556.37330476362,-36120.46287642087,108.44199563004076,-333.08556031787674,108.44199563004076
631,w160025462,mfh,37263.06505696854,41403.40561885393,46578.83132121067,r1,-66815.02126650441,-111979.20909259908,-45164.18782609467,124.9876569705084,-361.34918375781245,124.9876569705084
632,w160025465,mfh,33027.052047237106,36696.72449693012,41283.81505904638,r1,-59219.58329333462,-99249.56954710015,-40029.986253765535,103.21026510931551,-387.84888510234555,103.21026510931551
