,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05
790,w164088157,other,2093.107334584698,2325.67481620522,2616.3841682308725,nr0,-4300.4646702974405,-4240.41373894265,60.05093135479092
791,w164088159,other,21341.59203461474,23712.880038460822,26676.990043268423,nr1,-35760.25779367694,-35260.9078511394,499.3499425375412
792,w164088163,other,9750.431328885437,10833.812587650486,12188.039161106795,nr1,-16337.953483271222,-16109.813177904216,228.14030536700557
793,w164088169,other,21105.453760835582,23450.504178706204,26381.817201044476,nr1,-35364.581335632,-34870.75654947695,493.82478615504806
794,w164088173,other,9833.713895159206,10926.348772399118,12292.142368949008,nr1,-16477.50286809868,-16247.413919696242,230.08894840243738
795,w164088175,other,12691.274034079426,14101.415593421585,15864.092542599283,nr1,-21265.668955379388,-20968.718898918418,296.9500564609698
796,w164088176,other,12042.207613050196,13380.230681166884,15052.759516312744,nr1,-20178.084556634523,-19896.3213371967,281.76321943782386
797,w164088177,other,9666.08564864545,10740.09516516161,12082.607060806813,nr1,-16196.622730426128,-15970.45594280385,226.1667876222782
798,w164088179,other,10696.724021289856,11885.248912544284,13370.90502661232,nr1,-17923.574207993577,-17673.29257405045,250.2816339431265
799,w164088182,other,13052.522454425663,14502.802727139626,16315.65306803208,nr1,-21870.981652678965,-21565.57911630699,305.40253637197384
800,w359788107,other,146448.46418695297,162720.5157632811,183060.5802336912,nr2,-225897.33199920063,-222742.9414351279,3154.3905640727316
801,w377595955,other,5269.498540512313,5854.998378347015,6586.873175640391,nr1,-8829.642415921406,-8706.346844103775,123.29557181763084
802,w377595956,other,28267.306595759732,31408.118439733036,35334.13324469966,nr1,-47365.077982830095,-46703.680374751486,661.3976080786088
803,w377595957,other,10580.502130887347,11756.113478763718,13225.627663609184,nr1,-17728.83124995553,-17481.268972384692,247.56227757083616
804,w377595958,other,8779.878134358778,9755.42014928753,10974.847667948472,nr1,-14711.681535871188,-14506.250205595188,205.43133027600015
805,w377595969,other,13210.985853090617,14678.873170100685,16513.73231636327,nr1,-22136.505048399868,-21827.39479008806,309.11025831180814
806,w377595973,other,8444.976424306851,9383.307138118724,10556.220530383564,nr1,-14150.51573963745,-13952.920429720143,197.59530991730753
807,w377595974,other,8999.242144231297,9999.157938034774,11249.05268028912,nr1,-15079.250812379361,-14868.686809454246,210.56400292511535
808,w377595977,other,8536.860558488492,9485.400620542769,10671.075698110613,nr1,-14304.478026994218,-14104.73281480864,199.74521218557857
809,w377595979,other,1078.8263519284794,1198.6959465871994,1348.5329399105992,nr0,-2216.53927402382,-2185.587909928461,30.951364095358713
810,w377595980,other,7734.011162615932,8593.345736239924,9667.513953269914,nr1,-12959.212813446205,-12778.25264780472,180.96016564148522
811,w377595981,other,6596.527806654935,7329.475340727706,8245.659758318669,nr1,-11053.230449093682,-10898.885085549211,154.34536354447118
812,w377595982,other,1562.0916904953783,1735.6574338837536,1952.614613119223,nr0,-3209.448467234705,-3164.632294014214,44.81617322049078
813,w377595983,other,6048.387319975053,6720.430355527837,7560.484149968816,nr1,-10134.758899312792,-9993.238910748882,141.51998856391037
814,w377595984,other,12044.391815934709,13382.657573260787,15055.489769918386,nr1,-20181.744436276927,-19899.93011092427,281.81432535265776
815,w377595985,other,8686.153631054553,9651.281812282836,10857.69203881819,nr1,-14554.63550133415,-14351.397134229004,203.2383671051466
816,w377595986,other,6584.698473519628,7316.331637244031,8230.873091899535,nr1,-11033.409059866497,-10879.3404787107,154.0685811557978
817,w377595987,other,6484.295832988605,7204.773147765117,8105.369791235756,nr1,-10865.173049041634,-10713.453685915045,151.7193631265891
818,w377595990,other,11553.454485655837,12837.171650728707,14441.818107069796,nr1,-19359.123262428362,-19088.795874285763,270.3273881425994
819,w377595993,other,17992.688240944255,19991.875823271395,22490.860301180317,nr1,-30148.78968981479,-29727.797299713864,420.99239010092424
820,w377595995,other,7807.379128205863,8674.865698006513,9759.223910257328,nr1,-13082.149160417797,-12899.472333275988,182.67682714180955
821,w377595997,other,3309.5604194238044,3677.289354915338,4136.950524279755,nr0,-6799.769616578601,-6704.818831075389,94.95078550321159
822,w377596000,other,10206.448656415974,11340.49850712886,12758.060820519968,nr1,-17102.062232254248,-16863.252046874113,238.8101853801345
823,w377596001,other,20374.762221645513,22638.624690717235,25468.45277705689,nr1,-34140.224794343296,-33663.49670732464,476.7280870186587
824,w377596003,other,3440.6914080274864,3822.9904533638737,4300.864260034357,nr0,-7069.18923704121,-6970.476323401989,98.71291363922046
825,w377596004,other,11646.700243681342,12940.778048534823,14558.375304601677,nr1,-19515.367104956626,-19242.85795531112,272.5091496455061
826,w377596005,other,9760.113220127721,10844.570244586357,12200.141525159652,nr1,-16354.176590066298,-16125.80974809285,228.36684197344766
827,w377596008,other,13998.601039715508,15554.001155239454,17498.251299644384,nr1,-23456.24361664907,-23128.704761372945,327.5388552761251
828,w377596009,other,9562.9297003836,10625.477444870667,11953.662125479499,nr1,-16023.773240246963,-15800.020092467174,223.7531477797893
