,time,G(i),H_sun,T2m,WS10m,Int
433,20190119:0110,0.0,0.0,-3.63,1.72,0.0
434,20190119:0210,0.0,0.0,-3.92,1.72,0.0
435,20190119:0310,0.0,0.0,-4.13,1.79,0.0
436,20190119:0410,0.0,0.0,-4.4,1.79,0.0
437,20190119:0510,0.0,0.0,-4.42,1.72,0.0
438,20190119:0610,0.0,0.0,-4.49,1.79,0.0
439,20190119:0710,0.0,0.0,-4.48,1.86,0.0
440,20190119:0810,46.75,6.29,-4.19,1.72,0.0
441,20190119:0910,21.89,12.6,-1.89,1.38,0.0
442,20190119:1010,25.99,17.08,-0.21,2.0,0.0
443,20190119:1110,29.18,19.34,0.84,2.21,0.0
444,20190119:1210,20.06,19.13,1.54,2.28,0.0
445,20190119:1310,21.89,16.49,1.92,2.34,0.0
446,20190119:1410,18.24,11.69,1.77,2.21,0.0
447,20190119:1510,12.31,5.12,0.82,1.86,0.0
448,20190119:1610,0.0,0.0,-0.54,2.07,0.0
449,20190119:1710,0.0,0.0,-1.49,1.93,0.0
450,20190119:1810,0.0,0.0,-2.24,1.93,0.0
451,20190119:1910,0.0,0.0,-2.88,1.45,0.0
452,20190119:2010,0.0,0.0,-3.18,1.38,0.0
453,20190119:2110,0.0,0.0,-3.42,1.38,0.0
454,20190119:2210,0.0,0.0,-3.88,1.52,0.0
455,20190119:2310,0.0,0.0,-4.26,1.66,0.0
456,20190120:0010,0.0,0.0,-4.29,1.66,0.0
457,20190120:0110,0.0,0.0,-4.77,1.72,0.0
458,20190120:0210,0.0,0.0,-4.69,1.66,0.0
459,20190120:0310,0.0,0.0,-4.61,1.52,0.0
460,20190120:0410,0.0,0.0,-4.7,1.45,0.0
461,20190120:0510,0.0,0.0,-5.22,1.66,0.0
462,20190120:0610,0.0,0.0,-5.27,1.79,0.0
463,20190120:0710,0.0,0.0,-5.47,1.79,0.0
464,20190120:0810,47.42,6.43,-5.15,1.45,0.0
465,20190120:0910,23.71,12.77,-3.03,1.31,0.0
466,20190120:1010,24.62,17.27,-1.61,1.86,0.0
467,20190120:1110,36.48,19.54,-0.54,1.93,0.0
468,20190120:1210,29.18,19.35,0.19,1.93,0.0
469,20190120:1310,29.64,16.72,0.62,1.86,0.0
470,20190120:1410,22.34,11.91,0.66,1.93,0.0
471,20190120:1510,10.94,5.34,-0.1,1.72,0.0
472,20190120:1610,0.0,0.0,-1.44,2.0,0.0
473,20190120:1710,0.0,0.0,-2.46,1.86,0.0
