,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
937,w377596169,36.7579496475868,other,12876.31090878781,14307.012120875343,16095.38863598476,nr1,-21575.719223896172,-25351.074138803113,-3775.3549149069404,0.12572303637728258,-102.70852838917246
940,w379327852,945.496160332486,other,158129.96014688065,175699.95571875628,197662.4501836008,nr2,-243916.08546143182,-286596.9241632893,-42680.83870185749,0.11573569236600313,-45.14120785731024
941,w379327862,94.51021252730861,other,35224.299704228746,39138.11078247638,44030.37463028593,nr1,-59022.30892530962,-69350.1298325973,-10327.820907287685,0.12572303637728258,-109.27730063355295
942,w387435839,5391.653077106131,other,167602.8044439928,186225.3382711031,209503.505554991,nr2,-258527.98504700707,-303765.6380243967,-45237.65297738966,0.11573569236600313,-8.390312271662355
943,w387435840,942.2609318409114,other,201267.77977454063,223630.86641615623,251584.72471817577,nr2,-310456.3419007977,-364780.5043584305,-54324.16245763283,0.11573569236600313,-57.65299252246273
944,w390787314,132.5826213063672,other,37936.451952523494,42151.61328058166,47420.56494065437,nr1,-63566.82760120848,-74689.85587752509,-11123.028276316603,0.12572303637728258,-83.8950698569604
945,w390787315,330.5195846647024,other,94506.36210478179,105007.0690053131,118132.95263097723,nr2,-145776.43524596625,-171284.636181114,-25508.20093514776,0.11573569236600313,-77.17606495549941
946,w390787316,150.59577141329646,other,50814.83539091163,56460.928212124025,63518.54423863953,nr2,-78382.08344835717,-92097.50961406546,-13715.426165708297,0.11573569236600313,-91.07444410286628
947,w390789514,104.66224040389062,trade,66332.07105181989,73702.30116868876,82915.08881477486,nr2,-102317.4804855513,-120221.16187959691,-17903.681394045605,0.11573569236600313,-171.0615148782929
948,w390789515,335.6007874913513,trade,76963.29672499245,85514.7741388805,96204.12090624057,nr2,-118716.18789968506,-139489.34214845253,-20773.154248767474,0.11573569236600313,-61.898407342988776
949,w390790006,38.98714106846601,trade,20566.750212463816,22851.94468051535,25708.43776557977,nr1,-34461.92244622499,-40492.12644240967,-6030.203996184682,0.12572303637728258,-154.6716130222253
950,w390793102,268.1788772383239,sfh,31420.987645211826,34912.208494679806,39276.23455651478,r1,-56339.808722653484,-66195.10098865653,-9855.292266003045,0.12572805290234687,-36.748950429995624
